stage,cohort,scheme,seed,model,n_expected,n_evaluated,n_missing,auroc,balanced_accuracy,coverage
stage2,common_valid,exploratory,0,A,285,285,0,0.8556223514339214,0.8042524884202227,complete
stage2,common_valid,exploratory,0,B,285,285,0,0.8654774810288756,0.8008278308859762,complete
stage2,common_valid,exploratory,0,C,285,285,0,0.8664629939883709,0.8081945402582045,complete
stage2,common_valid,exploratory,7001,A,285,285,0,0.8556223514339214,0.8042524884202227,complete
stage2,common_valid,exploratory,7001,B,285,285,0,0.8654774810288756,0.8008278308859762,complete
stage2,common_valid,exploratory,7001,C,285,285,0,0.8608948457672219,0.790208928747413,complete
stage2,common_valid,exploratory,7002,A,285,285,0,0.8556223514339214,0.8042524884202227,complete
stage2,common_valid,exploratory,7002,B,285,285,0,0.8654774810288756,0.8008278308859762,complete
stage2,common_valid,exploratory,7002,C,285,285,0,0.8648368976052035,0.8008278308859762,complete
stage2,common_valid,exploratory,7003,A,285,285,0,0.8556223514339214,0.8042524884202227,complete
stage2,common_valid,exploratory,7003,B,285,285,0,0.8654774810288756,0.8008278308859762,complete
stage2,common_valid,exploratory,7003,C,285,285,0,0.8625209421503893,0.7936335862816596,complete
stage2,common_valid,exploratory,7004,A,285,285,0,0.8556223514339214,0.8042524884202227,complete
stage2,common_valid,exploratory,7004,B,285,285,0,0.8654774810288756,0.8008278308859762,complete
stage2,common_valid,exploratory,7004,C,285,285,0,0.8593673006800039,0.7936335862816596,complete
stage2,common_valid,exploratory,7005,A,285,285,0,0.8556223514339214,0.8042524884202227,complete
stage2,common_valid,exploratory,7005,B,285,285,0,0.8654774810288756,0.8008278308859762,complete
stage2,common_valid,exploratory,7005,C,285,285,0,0.8614368778949443,0.8042524884202227,complete
stage2,common_valid,strict,0,A,285,100,185,0.8825944170771757,0.8661740558292282,partial_not_full_CV
stage2,common_valid,strict,0,B,285,100,185,0.8776683087027914,0.8456486042692939,partial_not_full_CV
stage2,common_valid,strict,0,C,285,100,185,0.8776683087027914,0.8456486042692939,partial_not_full_CV
stage2,common_valid,strict,7001,A,285,100,185,0.8825944170771757,0.8661740558292282,partial_not_full_CV
stage2,common_valid,strict,7001,B,285,100,185,0.8776683087027914,0.8456486042692939,partial_not_full_CV
stage2,common_valid,strict,7001,C,285,100,185,0.8686371100164204,0.8099343185550082,partial_not_full_CV
stage2,common_valid,strict,7002,A,285,100,185,0.8825944170771757,0.8661740558292282,partial_not_full_CV
stage2,common_valid,strict,7002,B,285,100,185,0.8776683087027914,0.8456486042692939,partial_not_full_CV
stage2,common_valid,strict,7002,C,285,100,185,0.874384236453202,0.8456486042692939,partial_not_full_CV
stage2,common_valid,strict,7003,A,285,100,185,0.8825944170771757,0.8661740558292282,partial_not_full_CV
stage2,common_valid,strict,7003,B,285,100,185,0.8776683087027914,0.8456486042692939,partial_not_full_CV
stage2,common_valid,strict,7003,C,285,100,185,0.8739737274220033,0.8218390804597702,partial_not_full_CV
stage2,common_valid,strict,7004,A,285,100,185,0.8825944170771757,0.8661740558292282,partial_not_full_CV
stage2,common_valid,strict,7004,B,285,100,185,0.8776683087027914,0.8456486042692939,partial_not_full_CV
stage2,common_valid,strict,7004,C,285,100,185,0.8661740558292282,0.8099343185550082,partial_not_full_CV
stage2,common_valid,strict,7005,A,285,100,185,0.8825944170771757,0.8661740558292282,partial_not_full_CV
stage2,common_valid,strict,7005,B,285,100,185,0.8776683087027914,0.8456486042692939,partial_not_full_CV
stage2,common_valid,strict,7005,C,285,100,185,0.8723316912972086,0.8456486042692939,partial_not_full_CV
