stage,cohort,scheme,seed,model,fold,n,auroc,balanced_accuracy
stage1,all300,strict,0,B,4,0,,
stage1,all300,strict,0,B,5,0,,
stage1,all300,strict,0,B,6,39,0.9361111111111111,0.9375
stage1,all300,strict,0,B,7,0,,
stage1,all300,strict,0,B,8,0,,
stage1,all300,strict,0,C,1,28,0.8277777777777777,0.7833333333333333
stage1,all300,strict,0,C,2,0,,
stage1,all300,strict,0,C,3,0,,
stage1,all300,strict,0,C,4,0,,
stage1,all300,strict,0,C,5,0,,
stage1,all300,strict,0,C,6,39,0.9277777777777778,0.9375
stage1,all300,strict,0,C,7,0,,
stage1,all300,strict,0,C,8,0,,
stage1,all300,strict,7001,A,1,28,0.7722222222222223,0.7555555555555555
stage1,all300,strict,7001,A,2,0,,
stage1,all300,strict,7001,A,3,0,,
stage1,all300,strict,7001,A,4,0,,
stage1,all300,strict,7001,A,5,0,,
stage1,all300,strict,7001,A,6,39,0.9444444444444444,0.9375
stage1,all300,strict,7001,A,7,0,,
stage1,all300,strict,7001,A,8,0,,
stage1,all300,strict,7001,B,1,28,0.8277777777777777,0.7833333333333333
stage1,all300,strict,7001,B,2,0,,
stage1,all300,strict,7001,B,3,0,,
stage1,all300,strict,7001,B,4,0,,
stage1,all300,strict,7001,B,5,0,,
stage1,all300,strict,7001,B,6,39,0.9361111111111111,0.9375
stage1,all300,strict,7001,B,7,0,,
stage1,all300,strict,7001,B,8,0,,
stage1,all300,strict,7001,C,1,28,0.8111111111111111,0.7833333333333333
stage1,all300,strict,7001,C,2,0,,
stage1,all300,strict,7001,C,3,0,,
stage1,all300,strict,7001,C,4,0,,
stage1,all300,strict,7001,C,5,0,,
stage1,all300,strict,7001,C,6,39,0.9222222222222223,0.8708333333333333
stage1,all300,strict,7001,C,7,0,,
stage1,all300,strict,7001,C,8,0,,
stage1,all300,strict,7002,A,1,28,0.7722222222222223,0.7555555555555555
stage1,all300,strict,7002,A,2,0,,
stage1,all300,strict,7002,A,3,0,,
stage1,all300,strict,7002,A,4,0,,
stage1,all300,strict,7002,A,5,0,,
stage1,all300,strict,7002,A,6,39,0.9444444444444444,0.9375
stage1,all300,strict,7002,A,7,0,,
stage1,all300,strict,7002,A,8,0,,
stage1,all300,strict,7002,B,1,28,0.8277777777777777,0.7833333333333333
stage1,all300,strict,7002,B,2,0,,
stage1,all300,strict,7002,B,3,0,,
stage1,all300,strict,7002,B,4,0,,
stage1,all300,strict,7002,B,5,0,,
stage1,all300,strict,7002,B,6,39,0.9361111111111111,0.9375
stage1,all300,strict,7002,B,7,0,,
stage1,all300,strict,7002,B,8,0,,
stage1,all300,strict,7002,C,1,28,0.8166666666666667,0.7833333333333333
stage1,all300,strict,7002,C,2,0,,
stage1,all300,strict,7002,C,3,0,,
stage1,all300,strict,7002,C,4,0,,
stage1,all300,strict,7002,C,5,0,,
stage1,all300,strict,7002,C,6,39,0.9333333333333333,0.9375
stage1,all300,strict,7002,C,7,0,,
stage1,all300,strict,7002,C,8,0,,
stage1,all300,strict,7003,A,1,28,0.7722222222222223,0.7555555555555555
stage1,all300,strict,7003,A,2,0,,
stage1,all300,strict,7003,A,3,0,,
stage1,all300,strict,7003,A,4,0,,
stage1,all300,strict,7003,A,5,0,,
stage1,all300,strict,7003,A,6,39,0.9444444444444444,0.9375
stage1,all300,strict,7003,A,7,0,,
stage1,all300,strict,7003,A,8,0,,
stage1,all300,strict,7003,B,1,28,0.8277777777777777,0.7833333333333333
stage1,all300,strict,7003,B,2,0,,
stage1,all300,strict,7003,B,3,0,,
stage1,all300,strict,7003,B,4,0,,
stage1,all300,strict,7003,B,5,0,,
stage1,all300,strict,7003,B,6,39,0.9361111111111111,0.9375
stage1,all300,strict,7003,B,7,0,,
stage1,all300,strict,7003,B,8,0,,
stage1,all300,strict,7003,C,1,28,0.8333333333333334,0.7833333333333333
stage1,all300,strict,7003,C,2,0,,
stage1,all300,strict,7003,C,3,0,,
stage1,all300,strict,7003,C,4,0,,
stage1,all300,strict,7003,C,5,0,,
stage1,all300,strict,7003,C,6,39,0.9305555555555556,0.9375
stage1,all300,strict,7003,C,7,0,,
stage1,all300,strict,7003,C,8,0,,
stage1,all300,strict,7004,A,1,28,0.7722222222222223,0.7555555555555555
stage1,all300,strict,7004,A,2,0,,
stage1,all300,strict,7004,A,3,0,,
stage1,all300,strict,7004,A,4,0,,
stage1,all300,strict,7004,A,5,0,,
stage1,all300,strict,7004,A,6,39,0.9444444444444444,0.9375
stage1,all300,strict,7004,A,7,0,,
stage1,all300,strict,7004,A,8,0,,
stage1,all300,strict,7004,B,1,28,0.8277777777777777,0.7833333333333333
stage1,all300,strict,7004,B,2,0,,
stage1,all300,strict,7004,B,3,0,,
stage1,all300,strict,7004,B,4,0,,
stage1,all300,strict,7004,B,5,0,,
stage1,all300,strict,7004,B,6,39,0.9361111111111111,0.9375
stage1,all300,strict,7004,B,7,0,,
stage1,all300,strict,7004,B,8,0,,
stage1,all300,strict,7004,C,1,28,0.8166666666666667,0.7833333333333333
stage1,all300,strict,7004,C,2,0,,
stage1,all300,strict,7004,C,3,0,,
stage1,all300,strict,7004,C,4,0,,
stage1,all300,strict,7004,C,5,0,,
stage1,all300,strict,7004,C,6,39,0.9277777777777778,0.9041666666666667
stage1,all300,strict,7004,C,7,0,,
stage1,all300,strict,7004,C,8,0,,
stage1,all300,strict,7005,A,1,28,0.7722222222222223,0.7555555555555555
stage1,all300,strict,7005,A,2,0,,
stage1,all300,strict,7005,A,3,0,,
stage1,all300,strict,7005,A,4,0,,
stage1,all300,strict,7005,A,5,0,,
stage1,all300,strict,7005,A,6,39,0.9444444444444444,0.9375
stage1,all300,strict,7005,A,7,0,,
stage1,all300,strict,7005,A,8,0,,
stage1,all300,strict,7005,B,1,28,0.8277777777777777,0.7833333333333333
stage1,all300,strict,7005,B,2,0,,
stage1,all300,strict,7005,B,3,0,,
stage1,all300,strict,7005,B,4,0,,
stage1,all300,strict,7005,B,5,0,,
stage1,all300,strict,7005,B,6,39,0.9361111111111111,0.9375
stage1,all300,strict,7005,B,7,0,,
stage1,all300,strict,7005,B,8,0,,
stage1,all300,strict,7005,C,1,28,0.8277777777777777,0.7555555555555555
stage1,all300,strict,7005,C,2,0,,
stage1,all300,strict,7005,C,3,0,,
stage1,all300,strict,7005,C,4,0,,
stage1,all300,strict,7005,C,5,0,,
stage1,all300,strict,7005,C,6,39,0.9333333333333333,0.9375
stage1,all300,strict,7005,C,7,0,,
stage1,all300,strict,7005,C,8,0,,
stage1,common_valid,exploratory,0,A,1,24,0.7890625,0.78125
stage1,common_valid,exploratory,0,A,2,37,0.8801169590643275,0.8640350877192983
stage1,common_valid,exploratory,0,A,3,37,0.9152046783625731,0.8377192982456141
stage1,common_valid,exploratory,0,A,4,32,0.7833333333333333,0.6583333333333333
stage1,common_valid,exploratory,0,A,5,36,0.9650793650793651,0.9333333333333333
stage1,common_valid,exploratory,0,A,6,39,0.9472222222222222,0.9041666666666667
stage1,common_valid,exploratory,0,A,7,38,0.7977839335180056,0.6578947368421053
stage1,common_valid,exploratory,0,A,8,42,0.7574370709382151,0.7162471395881007
stage1,common_valid,exploratory,0,B,1,24,0.828125,0.8125
stage1,common_valid,exploratory,0,B,2,37,0.8888888888888888,0.8640350877192983
stage1,common_valid,exploratory,0,B,3,37,0.9239766081871345,0.8640350877192983
stage1,common_valid,exploratory,0,B,4,32,0.7708333333333334,0.6416666666666666
stage1,common_valid,exploratory,0,B,5,36,0.9936507936507937,0.9
stage1,common_valid,exploratory,0,B,6,39,0.9361111111111111,0.8708333333333333
stage1,common_valid,exploratory,0,B,7,38,0.7590027700831025,0.6578947368421053
stage1,common_valid,exploratory,0,B,8,42,0.7894736842105263,0.7688787185354691
stage1,common_valid,exploratory,0,C,1,24,0.8359375,0.8125
stage1,common_valid,exploratory,0,C,2,37,0.868421052631579,0.8377192982456141
stage1,common_valid,exploratory,0,C,3,37,0.9269005847953217,0.8362573099415205
stage1,common_valid,exploratory,0,C,4,32,0.7916666666666666,0.6666666666666667
stage1,common_valid,exploratory,0,C,5,36,0.9904761904761905,0.9
stage1,common_valid,exploratory,0,C,6,39,0.9361111111111111,0.9375
stage1,common_valid,exploratory,0,C,7,38,0.7534626038781164,0.6578947368421053
stage1,common_valid,exploratory,0,C,8,42,0.8032036613272311,0.7688787185354691
stage1,common_valid,exploratory,7001,A,1,24,0.7890625,0.78125
stage1,common_valid,exploratory,7001,A,2,37,0.8801169590643275,0.8640350877192983
stage1,common_valid,exploratory,7001,A,3,37,0.9152046783625731,0.8377192982456141
stage1,common_valid,exploratory,7001,A,4,32,0.7833333333333333,0.6583333333333333
stage1,common_valid,exploratory,7001,A,5,36,0.9650793650793651,0.9333333333333333
stage1,common_valid,exploratory,7001,A,6,39,0.9472222222222222,0.9041666666666667
stage1,common_valid,exploratory,7001,A,7,38,0.7977839335180056,0.6578947368421053
stage1,common_valid,exploratory,7001,A,8,42,0.7574370709382151,0.7162471395881007
stage1,common_valid,exploratory,7001,B,1,24,0.828125,0.8125
stage1,common_valid,exploratory,7001,B,2,37,0.8888888888888888,0.8640350877192983
stage1,common_valid,exploratory,7001,B,3,37,0.9239766081871345,0.8640350877192983
stage1,common_valid,exploratory,7001,B,4,32,0.7708333333333334,0.6416666666666666
stage1,common_valid,exploratory,7001,B,5,36,0.9936507936507937,0.9
stage1,common_valid,exploratory,7001,B,6,39,0.9361111111111111,0.8708333333333333
stage1,common_valid,exploratory,7001,B,7,38,0.7590027700831025,0.6578947368421053
stage1,common_valid,exploratory,7001,B,8,42,0.7894736842105263,0.7688787185354691
stage1,common_valid,exploratory,7001,C,1,24,0.828125,0.8125
stage1,common_valid,exploratory,7001,C,2,37,0.8888888888888888,0.8377192982456141
stage1,common_valid,exploratory,7001,C,3,37,0.9327485380116959,0.8640350877192983
stage1,common_valid,exploratory,7001,C,4,32,0.775,0.6666666666666667
stage1,common_valid,exploratory,7001,C,5,36,0.9936507936507937,0.9
stage1,common_valid,exploratory,7001,C,6,39,0.9222222222222223,0.8375
stage1,common_valid,exploratory,7001,C,7,38,0.7368421052631579,0.6578947368421053
stage1,common_valid,exploratory,7001,C,8,42,0.7665903890160183,0.7471395881006865
stage1,common_valid,exploratory,7002,A,1,24,0.7890625,0.78125
stage1,common_valid,exploratory,7002,A,2,37,0.8801169590643275,0.8640350877192983
stage1,common_valid,exploratory,7002,A,3,37,0.9152046783625731,0.8377192982456141
stage1,common_valid,exploratory,7002,A,4,32,0.7833333333333333,0.6583333333333333
stage1,common_valid,exploratory,7002,A,5,36,0.9650793650793651,0.9333333333333333
stage1,common_valid,exploratory,7002,A,6,39,0.9472222222222222,0.9041666666666667
stage1,common_valid,exploratory,7002,A,7,38,0.7977839335180056,0.6578947368421053
stage1,common_valid,exploratory,7002,A,8,42,0.7574370709382151,0.7162471395881007
stage1,common_valid,exploratory,7002,B,1,24,0.828125,0.8125
stage1,common_valid,exploratory,7002,B,2,37,0.8888888888888888,0.8640350877192983
stage1,common_valid,exploratory,7002,B,3,37,0.9239766081871345,0.8640350877192983
stage1,common_valid,exploratory,7002,B,4,32,0.7708333333333334,0.6416666666666666
stage1,common_valid,exploratory,7002,B,5,36,0.9936507936507937,0.9
stage1,common_valid,exploratory,7002,B,6,39,0.9361111111111111,0.8708333333333333
stage1,common_valid,exploratory,7002,B,7,38,0.7590027700831025,0.6578947368421053
stage1,common_valid,exploratory,7002,B,8,42,0.7894736842105263,0.7688787185354691
stage1,common_valid,exploratory,7002,C,1,24,0.828125,0.8125
stage1,common_valid,exploratory,7002,C,2,37,0.8888888888888888,0.8640350877192983
stage1,common_valid,exploratory,7002,C,3,37,0.9298245614035088,0.8640350877192983
stage1,common_valid,exploratory,7002,C,4,32,0.7833333333333333,0.6666666666666667
stage1,common_valid,exploratory,7002,C,5,36,0.9936507936507937,0.9
stage1,common_valid,exploratory,7002,C,6,39,0.9361111111111111,0.9375
stage1,common_valid,exploratory,7002,C,7,38,0.7479224376731302,0.6578947368421053
stage1,common_valid,exploratory,7002,C,8,42,0.7871853546910755,0.7162471395881007
stage1,common_valid,exploratory,7003,A,1,24,0.7890625,0.78125
stage1,common_valid,exploratory,7003,A,2,37,0.8801169590643275,0.8640350877192983
stage1,common_valid,exploratory,7003,A,3,37,0.9152046783625731,0.8377192982456141
stage1,common_valid,exploratory,7003,A,4,32,0.7833333333333333,0.6583333333333333
stage1,common_valid,exploratory,7003,A,5,36,0.9650793650793651,0.9333333333333333
stage1,common_valid,exploratory,7003,A,6,39,0.9472222222222222,0.9041666666666667
stage1,common_valid,exploratory,7003,A,7,38,0.7977839335180056,0.6578947368421053
stage1,common_valid,exploratory,7003,A,8,42,0.7574370709382151,0.7162471395881007
stage1,common_valid,exploratory,7003,B,1,24,0.828125,0.8125
stage1,common_valid,exploratory,7003,B,2,37,0.8888888888888888,0.8640350877192983
stage1,common_valid,exploratory,7003,B,3,37,0.9239766081871345,0.8640350877192983
stage1,common_valid,exploratory,7003,B,4,32,0.7708333333333334,0.6416666666666666
stage1,common_valid,exploratory,7003,B,5,36,0.9936507936507937,0.9
stage1,common_valid,exploratory,7003,B,6,39,0.9361111111111111,0.8708333333333333
stage1,common_valid,exploratory,7003,B,7,38,0.7590027700831025,0.6578947368421053
stage1,common_valid,exploratory,7003,B,8,42,0.7894736842105263,0.7688787185354691
stage1,common_valid,exploratory,7003,C,1,24,0.84375,0.8125
stage1,common_valid,exploratory,7003,C,2,37,0.8918128654970761,0.8377192982456141
stage1,common_valid,exploratory,7003,C,3,37,0.9327485380116959,0.8640350877192983
stage1,common_valid,exploratory,7003,C,4,32,0.7833333333333333,0.6416666666666666
stage1,common_valid,exploratory,7003,C,5,36,0.9968253968253968,0.9
stage1,common_valid,exploratory,7003,C,6,39,0.9361111111111111,0.8375
stage1,common_valid,exploratory,7003,C,7,38,0.7479224376731302,0.6578947368421053
stage1,common_valid,exploratory,7003,C,8,42,0.7871853546910755,0.7425629290617849
stage1,common_valid,exploratory,7004,A,1,24,0.7890625,0.78125
stage1,common_valid,exploratory,7004,A,2,37,0.8801169590643275,0.8640350877192983
stage1,common_valid,exploratory,7004,A,3,37,0.9152046783625731,0.8377192982456141
stage1,common_valid,exploratory,7004,A,4,32,0.7833333333333333,0.6583333333333333
stage1,common_valid,exploratory,7004,A,5,36,0.9650793650793651,0.9333333333333333
stage1,common_valid,exploratory,7004,A,6,39,0.9472222222222222,0.9041666666666667
stage1,common_valid,exploratory,7004,A,7,38,0.7977839335180056,0.6578947368421053
stage1,common_valid,exploratory,7004,A,8,42,0.7574370709382151,0.7162471395881007
stage1,common_valid,exploratory,7004,B,1,24,0.828125,0.8125
stage1,common_valid,exploratory,7004,B,2,37,0.8888888888888888,0.8640350877192983
stage1,common_valid,exploratory,7004,B,3,37,0.9239766081871345,0.8640350877192983
stage1,common_valid,exploratory,7004,B,4,32,0.7708333333333334,0.6416666666666666
stage1,common_valid,exploratory,7004,B,5,36,0.9936507936507937,0.9
stage1,common_valid,exploratory,7004,B,6,39,0.9361111111111111,0.8708333333333333
stage1,common_valid,exploratory,7004,B,7,38,0.7590027700831025,0.6578947368421053
stage1,common_valid,exploratory,7004,B,8,42,0.7894736842105263,0.7688787185354691
stage1,common_valid,exploratory,7004,C,1,24,0.8359375,0.8125
stage1,common_valid,exploratory,7004,C,2,37,0.8859649122807017,0.8377192982456141
stage1,common_valid,exploratory,7004,C,3,37,0.9269005847953217,0.8640350877192983
stage1,common_valid,exploratory,7004,C,4,32,0.7708333333333334,0.6416666666666666
stage1,common_valid,exploratory,7004,C,5,36,0.9904761904761905,0.9
stage1,common_valid,exploratory,7004,C,6,39,0.9277777777777778,0.8708333333333333
stage1,common_valid,exploratory,7004,C,7,38,0.739612188365651,0.6578947368421053
stage1,common_valid,exploratory,7004,C,8,42,0.7940503432494279,0.7688787185354691
stage1,common_valid,exploratory,7005,A,1,24,0.7890625,0.78125
stage1,common_valid,exploratory,7005,A,2,37,0.8801169590643275,0.8640350877192983
