stage,cohort,scheme,seed,comparison,n,delta_auroc,auroc_low,auroc_high,delta_balanced_accuracy,ba_low,ba_high
stage1,common_valid,strict,7001,B-A,63,0.01413043478260867,-0.008695652173912993,0.04239130434782612,0.012499999999999956,-0.05271739130434794,0.07188858695652163
stage1,common_valid,strict,7001,C-B,63,-0.008695652173912993,-0.023913043478260843,0.003260869565217428,-0.021739130434782483,-0.06576086956521743,0.0
stage1,common_valid,strict,7001,original_C-minus-shuffled_C,63,0.006521739130434745,-0.004347826086956497,0.022826086956521774,0.04347826086956519,0.0,0.10869565217391308
stage1,common_valid,strict,7002,B-A,63,0.01413043478260867,-0.008695652173912993,0.04239130434782612,0.012499999999999956,-0.05271739130434794,0.07188858695652163
stage1,common_valid,strict,7002,C-B,63,-0.004347826086956497,-0.01521739130434785,0.005434782608695676,0.021739130434782705,0.0,0.0652173913043479
stage1,common_valid,strict,7002,original_C-minus-shuffled_C,63,0.0021739130434782483,-0.006521739130434856,0.01304347826086949,0.0,0.0,0.0
stage1,common_valid,strict,7003,B-A,63,0.01413043478260867,-0.008695652173912993,0.04239130434782612,0.012499999999999956,-0.05271739130434794,0.07188858695652163
stage1,common_valid,strict,7003,C-B,63,0.0021739130434782483,-0.0076358695652174,0.01413043478260867,0.0,-0.0652173913043479,0.06521739130434778
stage1,common_valid,strict,7003,original_C-minus-shuffled_C,63,-0.004347826086956497,-0.013043478260869601,0.0,0.021739130434782705,0.0,0.06576086956521696
stage1,common_valid,strict,7004,B-A,63,0.01413043478260867,-0.008695652173912993,0.04239130434782612,0.012499999999999956,-0.05271739130434794,0.07188858695652163
stage1,common_valid,strict,7004,C-B,63,-0.005434782608695676,-0.018505434782608753,0.004347826086956497,0.0,0.0,0.0
stage1,common_valid,strict,7004,original_C-minus-shuffled_C,63,0.003260869565217428,-0.004347826086956497,0.013043478260869601,0.021739130434782705,0.0,0.0652173913043479
stage1,common_valid,strict,7005,B-A,63,0.01413043478260867,-0.008695652173912993,0.04239130434782612,0.012499999999999956,-0.05271739130434794,0.07188858695652163
stage1,common_valid,strict,7005,C-B,63,0.0,-0.010869565217391353,0.009809782608695625,0.0,-0.0652173913043479,0.06521739130434778
stage1,common_valid,strict,7005,original_C-minus-shuffled_C,63,-0.0021739130434782483,-0.013043478260869601,0.006521739130434745,0.021739130434782705,0.0,0.06576086956521696
stage2,all300,exploratory,0,B-A,300,0.009511111111111026,-0.00498111111111108,0.02231333333333328,0.0033333333333334103,-0.020000000000000018,0.026666666666666727
stage2,all300,exploratory,0,C-B,300,0.0007555555555556204,-0.005512222222222243,0.006845555555555542,-0.0033333333333334103,-0.010000000000000009,0.0
stage2,all300,exploratory,7001,B-A,300,0.009511111111111026,-0.00498111111111108,0.02231333333333328,0.0033333333333334103,-0.020000000000000018,0.026666666666666727
stage2,all300,exploratory,7001,C-B,300,-0.0037333333333332552,-0.009823333333333397,0.001288888888888895,-0.01666666666666672,-0.030000000000000027,-0.0033333333333332993
stage2,all300,exploratory,7001,original_C-minus-shuffled_C,300,0.004488888888888876,-0.0001777777777777212,0.009468888888888955,0.013333333333333308,0.0033333333333332993,0.026666666666666727
stage2,all300,exploratory,7002,B-A,300,0.009511111111111026,-0.00498111111111108,0.02231333333333328,0.0033333333333334103,-0.020000000000000018,0.026666666666666727
stage2,all300,exploratory,7002,C-B,300,0.00013333333333342967,-0.005512222222222243,0.005912222222222198,-0.006666666666666821,-0.01666666666666672,0.0
stage2,all300,exploratory,7002,original_C-minus-shuffled_C,300,0.0006222222222221907,-0.004133333333333322,0.004934444444444457,0.0033333333333334103,-0.00666666666666671,0.016666666666666607
stage2,all300,exploratory,7003,B-A,300,0.009511111111111026,-0.00498111111111108,0.02231333333333328,0.0033333333333334103,-0.020000000000000018,0.026666666666666727
stage2,all300,exploratory,7003,C-B,300,-0.0006666666666665932,-0.007025555555555596,0.005644444444444452,-0.01333333333333342,-0.030000000000000027,0.0033333333333332993
stage2,all300,exploratory,7003,original_C-minus-shuffled_C,300,0.0014222222222222136,-0.003912222222222197,0.00648888888888888,0.010000000000000009,-0.0033333333333334103,0.026666666666666616
stage2,all300,exploratory,7004,B-A,300,0.009511111111111026,-0.00498111111111108,0.02231333333333328,0.0033333333333334103,-0.020000000000000018,0.026666666666666727
stage2,all300,exploratory,7004,C-B,300,-0.004577777777777681,-0.010755555555555518,0.0016444444444444484,-0.00666666666666671,-0.020000000000000018,0.006666666666666599
stage2,all300,exploratory,7004,original_C-minus-shuffled_C,300,0.005333333333333301,0.0007099999999999968,0.010000000000000009,0.0033333333333332993,-0.00666666666666671,0.01333333333333342
stage2,all300,exploratory,7005,B-A,300,0.009511111111111026,-0.00498111111111108,0.02231333333333328,0.0033333333333334103,-0.020000000000000018,0.026666666666666727
stage2,all300,exploratory,7005,C-B,300,-0.003555555555555534,-0.008757777777777847,0.0015122222222222388,0.0,-0.006750000000000143,0.010000000000000009
stage2,all300,exploratory,7005,original_C-minus-shuffled_C,300,0.004311111111111154,-0.00022444444444445752,0.009201111111111096,-0.0033333333333334103,-0.01333333333333342,0.00666666666666671
stage2,all300,strict,0,B-A,226,0.0065128688010044344,-0.011691776522285036,0.02206136220966721,0.004237288135593209,-0.01812617702448216,0.026600753295668578
stage2,all300,strict,0,C-B,226,0.0009416195856873921,-0.006593298807281816,0.008162664783427469,0.00462962962962965,0.0,0.01851851851851849
